subject_id,tangram_set,target,earlier,length,label,response,correct,understood
0cdcecbf-8696-436a-ad3a-e77e07d55822,1,G,later,1,leg,I,False,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,0,C,earlier,30,"rectangle body with two arms and a head, arms out wide, straight body lines, one arm has a triangle for a hand and the other is a square, no legs",C,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,2,E,earlier,11,"sitting down, facing right, with the hat thing on its head",E,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,1,J,later,2,large cube,J,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,2,C,later,1,Y,C,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,0,B,later,1,mouse,B,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,2,A,later,1,thriller,G,False,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,1,F,earlier,1,"looks like a person sitting facing the left with their knees bent and feet sticking out, head tilted down slightly, like they're curled up in the fetal position, square on top balancing on corner",F,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,1,I,later,2,ice skater,I,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,2,K,later,1,duck,A,False,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,1,E,earlier,27,"The gentleman is lunging forward throwing hands in the air, it is difficult to make out, also looks like a rabbit with head down and big ears",E,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,2,G,later,1,leg,I,False,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,1,K,earlier,32,"it's a diamond on a diamond with a triangle out to the right, there is a right angled triangle to the left, like a duck looking right with a diamond on top",K,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,0,D,earlier,17,looks like a priest wearing a robe. facing left. arms stretched out holding something. standing straight up,D,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,0,L,earlier,21,"someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square",L,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,2,I,earlier,20,"picture looks like it has 2 hands going forward, standing on one leg and kicking the right leg out back",I,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,0,H,earlier,27,"this one you can't really see the feet, hard to tell if they're sitting or what, no arms, facing right, and nothing on top of the head",H,True,yes
0cdcecbf-8696-436a-ad3a-e77e07d55822,0,A,earlier,27,"it looks like someone stood up with their feet both pointing left, there's a square and a trapesium at the top, with one leg in the air",A,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,1,E,later,1,windmill,G,False,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,1,G,earlier,21,"arm stretched out facing above, sort of kneeling, body looks like a parallelogram with one leg in front and one behind",G,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,0,L,earlier,21,"someone kneeling down with his arms pointing right with his knees pointing right too, his legs are combined into a square",L,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,0,C,earlier,32,"it looks like a person is falling backwards with his arms outstretched, body is slanted to the left, one arm facing up and to the right and the other to the left",C,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,2,E,later,2,bunny ears,E,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,1,J,later,2,large cube,J,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,1,I,later,1,ballerina,G,False,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,0,H,earlier,25,"looks like the letter 'i', no hand sticking out just a head and a body, like a baby that has been swaddled in a blanket",H,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,1,F,later,1,sad,F,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,0,D,later,3,long sleeved book,D,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,2,C,later,2,falling guy,C,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,2,A,earlier,33,"Man looks like he's doing the thriller dance, his head behind him, zombie post to the left, his head to the right, legs are apart to step, arms are together, one leg up",A,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,2,G,earlier,58,"This one has a square on the left (ear 1) and a four-sided shape on the right (ear 2) it then has another shape that looks like a rectangle going down, it connects to a bigger four-sided shape at the bottom (trapezium?) with a smaller triangle on the right-hand side, kind of looks like a dog to me",G,True,yes
2c4f7a41-2b44-42d0-84fe-41d615cc0857,0,A,later,1,zombie,A,True,yes
